weed_key,weedName
RiceWeed_1,Echinochloacrusgalli
RiceWeed_2,Echinochloacolona
RiceWeed_3,Ischaemumrugosum
RiceWeed_4,Dactylocteniumaegyptium
RiceWeed_5,Leptochloaspecies
RiceWeed_6,Eleusineindica
RiceWeed_7,Paspalumdistichium
RiceWeed_8,Brachiariareptans
RiceWeed_9,Cynadondactylon
RiceWeed_10,Rottboelliacochinchinensis
RiceWeed_11,Digitariaciliaris
RiceWeed_12,Leersiahexandra
RiceWeed_13,Weedyrice
RiceWeed_14,Eragrostisjaponica
RiceWeed_15,Eragrostistenella
RiceWeed_16,Sphenochleazeylanica
RiceWeed_17,Ludwigiahyssopifolia
RiceWeed_18,Ludwigiaadscendens
RiceWeed_19,Ludwigiaoctovalvis
RiceWeed_20,Ammaniaspp
RiceWeed_21,Monochoriavaginalis
RiceWeed_22,Linderniaspecies
RiceWeed_23,Pistiastratiotes
RiceWeed_24,Eichhorniacrassipes
RiceWeed_25,Commelinabenghalensis
RiceWeed_26,Commelinadiffusa
RiceWeed_27,Alternentheraphiloxeroides
RiceWeed_28,Alternentherasessils
RiceWeed_29,Caesuliaaxillaris
RiceWeed_30,Sagittariaspp
RiceWeed_31,Marsileaminuta
RiceWeed_32,Ipomoeaaquatic
RiceWeed_33,Ecliptaprostrate
RiceWeed_34,Ageratumconyzoides
RiceWeed_35,Physallismicrantha
RiceWeed_36,Aeschynomeneindica
RiceWeed_37,Trianthemaportulacastrum
RiceWeed_38,Portulacaoleracea
RiceWeed_39,Phylanthusniruri
RiceWeed_40,Euphorbiahirta
RiceWeed_41,Euphorbiathymifolia
RiceWeed_42,Cyperusdifformis
RiceWeed_43,Cyperusiria
RiceWeed_44,Scirpusjuncoides
RiceWeed_45,Cyperusrotundus
RiceWeed_46,Fimbristylisspp
Wheat_1,Phalarisminor
Wheat_2,Polypogonmonspeliensis
Wheat_3,Poaannua
Wheat_4,Avenaludoviciana
Wheat_5,Cynadondactylon
Wheat_6,Chenopodiumalbum
Wheat_7,Anagalisarvensis
Wheat_8,Melilotusindica
Wheat_9,Medicagodenticulate
Wheat_10,Rumexdentatus
Wheat_11,Amaranthusspinosus
Wheat_12,Xanthiumstrumarium
Wheat_13,Lathyrusaphaca
Wheat_14,Coronopusdidymus
Wheat_15,Fumariaparviflora
Wheat_16,Convolvulusarvensis
Wheat_17,Malwaparviflora
Wheat_18,Cirsiumarvense
Wheat_19,Argemonemexicana
Wheat_20,Solanumspp
Wheat_21,Cannabissativa
Wheat_22,Gnaphaliumpurpurium
Wheat_23,Spergulaarvensis
Wheat_24,Oxaliscorniculata
Wheat_25,Viciasativa
Wheat_26,Partheniumhysterophorus
Wheat_27,Euphorbiahelioscopia
Wheat_28,Amaranthusviridis
