"list_name","name","label","Hub","District","Block"
"Hubs","Bihar","Bihar","","",""
"Hubs","EasternUP","Eastern UP","","",""
"Hubs","Odisha","Odisha","","",""
"","","","","",""
"Districts","Arah","Arah","Bihar","",""
"Districts","Begusarai","Begusarai","Bihar","",""
"Districts","Buxar","Buxar","Bihar","",""
"Districts","EastChamparan","East Champaran","Bihar","",""
"Districts","Gopalganj","Gopalganj","Bihar","",""
"Districts","Lakhisarai","Lakhisarai","Bihar","",""
"Districts","Muzaffarpur","Muzaffarpur","Bihar","",""
"Districts","Patna","Patna","Bihar","",""
"Districts","Rohtas","Rohtas","Bihar","",""
"Districts","Samastipur","Samastipur","Bihar","",""
"Districts","Vaishali","Vaishali","Bihar","",""
"Districts","WestChamparan","West Champaran","Bihar","",""
"Districts","Basti","Basti","EasternUP","",""
"Districts","Deoria","Deoria","EasternUP","",""
"Districts","Gorakhpur","Gorakhpur","EasternUP","",""
"Districts","Kushinagar","Kushinagar","EasternUP","",""
"Districts","Maharajganj","Maharajganj","EasternUP","",""
"Districts","SantKabirnagar","Sant Kabirnagar","EasternUP","",""
"Districts","Siddharthnagar","Siddharthnagar","EasternUP","",""
"Districts","Bhadrak","Bhadrak","Odisha","",""
"Districts","Balasore","Balasore","Odisha","",""
"Districts","Cuttack","Cuttack","Odisha","",""
"Districts","Jagatsinghpur","Jagatsinghpur","Odisha","",""
"Districts","Keonjhar","Keonjhar","Odisha","",""
"Districts","Khordha","Khordha","Odisha","",""
"Districts","Mayurbhanj","Mayurbhanj","Odisha","",""
"Districts","Puri","Puri","Odisha","",""
"","","","","",""
"Blocks","Agiaon","Agiaon","Bihar","Arah",""
"Blocks","Barhara","Barhara","Bihar","Arah",""
"Blocks","Bihiyan","Bihiyan","Bihar","Arah",""
"Blocks","Charpokhari","Charpokhari","Bihar","Arah",""
"Blocks","Gadhani","Gadhani","Bihar","Arah",""
"Blocks","Jagdishpur","Jagdishpur","Bihar","Arah",""
"Blocks","Koilwar","Koilwar","Bihar","Arah",""
"Blocks","Piro","Piro","Bihar","Arah",""
"Blocks","Sahar","Sahar","Bihar","Arah",""
"Blocks","Sandesh","Sandesh","Bihar","Arah",""
"Blocks","Tarari","Tarari","Bihar","Arah",""
"Blocks","Udvantnagar","Udvantnagar","Bihar","Arah",""
"Blocks","Bachwara","Bachwara","Bihar","Begusarai",""
"Blocks","Bakhri","Bakhri","Bihar","Begusarai",""
"Blocks","Balia","Balia","Bihar","Begusarai",""
"Blocks","Barauni","Barauni","Bihar","Begusarai",""
"Blocks","Begusarai","Begusarai","Bihar","Begusarai",""
"Blocks","Bhagwanpur","Bhagwanpur","Bihar","Begusarai",""
"Blocks","Birpur","Birpur","Bihar","Begusarai",""
"Blocks","CheriaBariyarpur","Cheria Bariyarpur","Bihar","Begusarai",""
"Blocks","Chhaurahi","Chhaurahi","Bihar","Begusarai",""
"Blocks","Dandari","Dandari","Bihar","Begusarai",""
"Blocks","Garhpura","Garhpura","Bihar","Begusarai",""
"Blocks","Khodabandpur","Khodabandpur","Bihar","Begusarai",""
"Blocks","Mansurchak","Mansurchak","Bihar","Begusarai",""
"Blocks","Matihani","Matihani","Bihar","Begusarai",""
"Blocks","Navkothi","Navkothi","Bihar","Begusarai",""
"Blocks","SahebpurKamal","Sahebpur Kamal","Bihar","Begusarai",""
"Blocks","SamhoAkahaKurha","Samho-Akaha-Kurha","Bihar","Begusarai",""
"Blocks","Teghra","Teghra","Bihar","Begusarai",""
"Blocks","Brahmpur","Brahmpur","Bihar","Buxar",""
"Blocks","Buxar","Buxar","Bihar","Buxar",""
"Blocks","Chakki","Chakki","Bihar","Buxar",""
"Blocks","Chausha","Chausha","Bihar","Buxar",""
"Blocks","Chaugain","Chaugain","Bihar","Buxar",""
"Blocks","Dumraon","Dumraon","Bihar","Buxar",""
"Blocks","Itarhi","Itarhi","Bihar","Buxar",""
"Blocks","Kesath","Kesath","Bihar","Buxar",""
"Blocks","Nawanagar","Nawanagar","Bihar","Buxar",""
"Blocks","Rajpur","Rajpur","Bihar","Buxar",""
"Blocks","Simari","Simari","Bihar","Buxar",""
"Blocks","Adapur","Adapur","Bihar","EastChamparan",""
"Blocks","Areraj","Areraj","Bihar","EastChamparan",""
"Blocks","Banjariya","Banjariya","Bihar","EastChamparan",""
"Blocks","Bankatwa","Bankatwa","Bihar","EastChamparan",""
