list_name,name,label,q101_country,q102_state,q103_district
country,India,India,,,
country,Bangladesh,Bangladesh,,,
country,Nepal,Nepal,,,
,,,,,
state,AndhraPradesh,Andhra Pradesh,India,,
state,Bihar,Bihar,India,,
state,Chattisgarh,Chattisgarh,India,,
state,UttarPradesh,Uttar Pradesh,India,,
state,Odisha,Odisha,India,,
state,WestBengal,West Bengal,India,,
state,Barisal,Barisal,Bangladesh,,
state,Dinajpur,Dinajpur,Bangladesh,,
state,Faridpur,Faridpur,Bangladesh,,
state,Jessore,Jessore,Bangladesh,,
state,State_1,State 1,Nepal,,
state,State_2,State 2,Nepal,,
state,State_3,State 3,Nepal,,
state,State_4,State 4,Nepal,,
state,State_5,State 5,Nepal,,
state,State_7,State 7,Nepal,,
,,,,,
district,Anantapur,Anantapur,India,AndhraPradesh,
district,Chittoor,Chittoor,India,AndhraPradesh,
district,EastGodavari,East Godavari,India,AndhraPradesh,
district,Guntur,Guntur,India,AndhraPradesh,
district,Kadapa,Kadapa,India,AndhraPradesh,
district,Krishna,Krishna,India,AndhraPradesh,
district,Kurnool,Kurnool,India,AndhraPradesh,
district,Nellore,Nellore,India,AndhraPradesh,
district,Prakasam,Prakasam,India,AndhraPradesh,
district,Srikakulam,Srikakulam,India,AndhraPradesh,
district,Visakhapatnam,Visakhapatnam,India,AndhraPradesh,
district,Vizianagaram,Vizianagaram,India,AndhraPradesh,
district,WestGodavari,West Godavari,India,AndhraPradesh,
,,,,,
district,Arah,Arah,India,Bihar,
district,Araria,Araria,India,Bihar,
district,Arwal,Arwal,India,Bihar,
district,Aurangabad,Aurangabad,India,Bihar,
district,Banka,Banka,India,Bihar,
district,Begusarai,Begusarai,India,Bihar,
district,Bhagalpur,Bhagalpur,India,Bihar,
district,Buxar,Buxar,India,Bihar,
district,Darbhanga,Darbhanga,India,Bihar,
district,EastChamparan,East Champaran,India,Bihar,
district,Gaya,Gaya,India,Bihar,
district,Gopalganj,Gopalganj,India,Bihar,
district,Jehanabad ,Jehanabad ,India,Bihar,
district,Kaimur,Kaimur,India,Bihar,
district,Katihar,Katihar,India,Bihar,
district,Khagaria,Khagaria,India,Bihar,
district,Kishanganj,Kishanganj,India,Bihar,
district,Lakhisarai,Lakhisarai,India,Bihar,
district,Madhepura,Madhepura,India,Bihar,
district,Madhubani,Madhubani,India,Bihar,
district,Munger,Munger,India,Bihar,
district,Muzaffarpur,Muzaffarpur,India,Bihar,
district,Nalanda,Nalanda,India,Bihar,
district,Nawada,Nawada,India,Bihar,
district,Patna,Patna,India,Bihar,
district,Purnia,Purnia,India,Bihar,
district,Rohtas,Rohtas,India,Bihar,
district,Saharsa,Saharsa,India,Bihar,
