list_name,name,label,q101_country,q102_state,q103_district
country,India,India,,,
country,Bangladesh,Bangladesh,,,
country,Nepal,Nepal,,,
,,,,,
state,State_1,State 1,Nepal,,
state,State_2,State 2,Nepal,,
state,State_3,State 3,Nepal,,
state,State_4,State 4,Nepal,,
state,State_5,State 5,Nepal,,
state,State_7,State 7,Nepal,,
,,,,,
,,,,,
district,Banke,Banke,Nepal,State_5,
district,Bara,Bara,Nepal,State_2,
district,Bardiya,Bardiya,Nepal,State_5,
district,Chitwan,Chitwan,Nepal,State_3,
district,Dhanusha,Dhanusha,Nepal,State_2,
district,Jhapa,Jhapa,Nepal,State_1,
district,Kailali,Kailali,Nepal,State_7,
district,Kanchanpur,Kanchanpur,Nepal,State_7,
district,Kapilbastu,Kapilbastu,Nepal,State_5,
district,Mahottari,Mahottari,Nepal,State_2,
district,Morang,Morang,Nepal,State_1,
district,Nawalparasi,Nawalparasi,Nepal,State_5,
district,Parsa,Parsa,Nepal,State_2,
district,Rautahat,Rautahat,Nepal,State_2,
district,Rupandehi,Rupandehi,Nepal,State_5,
district,Saptari,Saptari,Nepal,State_2,
district,Sarlahi,Sarlahi,Nepal,State_2,
district,Siraha,Siraha,Nepal,State_2,
district,Sunsari,Sunsari,Nepal,State_1,
,,,,,
subDistrict,Baijanath ,Baijanath ,Nepal,State_5,Banke
subDistrict,Duduwa ,Duduwa ,Nepal,State_5,Banke
subDistrict,Janaki ,Janaki ,Nepal,State_5,Banke
subDistrict,Khajura ,Khajura ,Nepal,State_5,Banke
subDistrict,Kohalpur ,Kohalpur ,Nepal,State_5,Banke
subDistrict,Narainapur ,Narainapur ,Nepal,State_5,Banke
subDistrict,Nepalganj ,Nepalganj ,Nepal,State_5,Banke
subDistrict,Raptisonari ,Raptisonari ,Nepal,State_5,Banke
subDistrict,Adarshkotwal ,Adarshkotwal ,Nepal,State_2,Bara
subDistrict,Baragadhi ,Baragadhi ,Nepal,State_2,Bara
subDistrict,Bisrampur,Bisrampur,Nepal,State_2,Bara
subDistrict,Devtal ,Devtal ,Nepal,State_2,Bara
subDistrict,JitpurSimara ,JitpurSimara ,Nepal,State_2,Bara
subDistrict,Kalaiya ,Kalaiya ,Nepal,State_2,Bara
subDistrict,Karaiyamai ,Karaiyamai ,Nepal,State_2,Bara
subDistrict,Kolhabi ,Kolhabi ,Nepal,State_2,Bara
subDistrict,Mahagadhimai ,Mahagadhimai ,Nepal,State_2,Bara
subDistrict,Nijgadh ,Nijgadh ,Nepal,State_2,Bara
subDistrict,Pacharauta ,Pacharauta ,Nepal,State_2,Bara
subDistrict,Parwanipur ,Parwanipur ,Nepal,State_2,Bara
